OrderID,CustomerAge,Gender,ProductCategory,Quantity,Price,Discount,PaymentMethod,TotalAmount
1,56,Male,Sports,2,475,5,Credit Card,902.5
2,46,Female,Electronics,5,229,10,Credit Card,1030.5
3,32,Male,Clothing,5,428,15,UPI,1819.0
4,60,Male,Sports,1,388,10,Debit Card,349.2
5,25,Male,Sports,1,223,0,Cash,223.0
6,38,Male,Home,5,427,0,Cash,2135.0
7,56,Male,Books,1,456,20,Debit Card,364.8
8,36,Female,Home,2,461,10,Cash,829.8000000000001
9,40,Female,Clothing,3,155,15,Credit Card,395.25
10,28,Male,Sports,3,242,20,Credit Card,580.8000000000001
11,28,Male,Home,4,380,15,Credit Card,1292.0
12,41,Male,Books,2,419,20,Cash,670.4000000000001
13,53,Female,Clothing,1,243,10,Debit Card,218.70000000000002
14,57,Female,Electronics,1,223,0,Credit Card,223.0
15,41,Male,Home,4,376,15,Debit Card,1278.3999999999999
16,20,Male,Clothing,4,490,10,UPI,1764.0
17,39,Female,Electronics,1,70,15,UPI,59.5
18,19,Male,Home,1,372,10,UPI,334.8
19,41,Female,Clothing,2,87,20,Cash,139.20000000000002
20,61,Female,Clothing,4,104,10,Cash,374.40000000000003
21,47,Male,Home,2,339,20,Credit Card,542.4
22,55,Female,Clothing,1,225,0,UPI,225.0
23,19,Male,Sports,5,222,20,Debit Card,888.0
24,38,Male,Home,5,313,5,Cash,1486.75
25,50,Male,Clothing,1,209,0,Debit Card,209.0
26,29,Male,Electronics,4,361,10,Debit Card,1299.6000000000001
27,39,Male,Electronics,5,40,10,Credit Card,180.0
28,61,Male,Sports,4,299,5,Credit Card,1136.2
29,42,Female,Home,5,352,10,Debit Card,1584.0
30,44,Female,Clothing,4,482,0,Debit Card,1928.0
31,59,Female,Clothing,5,144,0,Debit Card,720.0
32,45,Female,Electronics,4,92,20,Debit Card,294.40000000000003
33,33,Male,Sports,2,400,15,UPI,680.0
34,32,Female,Electronics,4,56,10,Debit Card,201.6
35,64,Female,Electronics,2,401,5,Cash,761.9
36,61,Female,Sports,2,215,0,Credit Card,430.0
37,20,Male,Home,1,394,0,Cash,394.0
38,54,Female,Clothing,2,390,0,Credit Card,780.0
39,24,Male,Home,3,86,15,Credit Card,219.29999999999998
40,38,Female,Books,2,268,15,Credit Card,455.59999999999997
41,26,Male,Books,4,446,10,Cash,1605.6000000000001
42,56,Male,Books,2,101,5,Credit Card,191.89999999999998
43,35,Female,Sports,4,431,15,Debit Card,1465.3999999999999
44,21,Male,Electronics,4,444,20,Debit Card,1420.8000000000002
45,42,Male,Home,3,408,15,UPI,1040.3999999999999
